province,max,min,wind,wind_d,rain,humidi,cloud,pressure,date
Bac Lieu,33,24,16,ESE,1,66,38,1014,1/2/2016
Bac Lieu,31,24,25,ENE,1,74,20,1010,1/2/2017
Bac Lieu,30,23,14,ENE,0,71,12,1009,1/2/2018
Bac Lieu,23,22,25,NE,1,89,90,1011,1/2/2019
Bac Lieu,31,25,23,ENE,0,67,9,1014,1/2/2020
Bac Lieu,27,22,8,SSW,0,78,59,1010,1/2/2021
Bac Lieu,26,18,14,S,0,71,45,1014,1/11/2009
Bac Lieu,30,24,11,E,1,78,36,1012,1/11/2010
Bac Lieu,32,23,6,SW,0,72,17,1008,1/11/2011
Bac Lieu,31,24,15,NE,0,74,52,1011,1/11/2012
Bac Lieu,31,24,15,E,1,78,18,1010,1/11/2013
Bac Lieu,31,23,19,ENE,0,72,36,1013,1/11/2014
Bac Lieu,31,24,18,ENE,1,75,25,1011,1/11/2015
Bac Lieu,32,25,12,ESE,1,73,32,1013,1/11/2016
Bac Lieu,31,24,17,E,1,74,42,1009,1/11/2017
Bac Lieu,32,24,14,ENE,0,68,22,1012,1/11/2018
Bac Lieu,31,24,20,ENE,1,75,32,1012,1/11/2019
Bac Lieu,30,24,11,SE,1,76,36,1009,1/11/2020
Bac Lieu,30,23,11,NE,0,71,39,1010,1/11/2021
Bac Lieu,28,20,11,E,0,70,30,1015,1/12/2009
Bac Lieu,32,24,20,E,0,71,18,1013,1/12/2010
Bac Lieu,31,24,9,SSE,0,74,30,1008,1/12/2011
Bac Lieu,31,24,22,NE,1,74,53,1010,1/12/2012
Bac Lieu,32,25,10,E,1,73,17,1011,1/12/2013
Bac Lieu,31,24,16,E,1,75,40,1013,1/12/2014
Bac Lieu,31,24,15,ENE,1,75,20,1011,1/12/2015
Bac Lieu,33,25,16,E,1,74,19,1012,1/12/2016
Bac Lieu,33,24,7,S,1,76,52,1008,1/12/2017
Bac Lieu,30,23,14,ESE,0,67,32,1012,1/12/2018
Bac Lieu,31,25,22,E,1,72,42,1012,1/12/2019
Bac Lieu,31,23,11,ESE,1,76,36,1010,1/12/2020
Bac Lieu,27,22,11,E,0,72,54,1011,1/12/2021
Bac Lieu,28,21,13,E,1,70,54,1016,1/13/2009
Bac Lieu,31,24,23,E,0,68,9,1014,1/13/2010
Bac Lieu,31,24,9,E,1,76,26,1009,1/13/2011
Bac Lieu,28,24,22,ENE,1,81,81,1010,1/13/2012
Bac Lieu,31,24,11,ESE,1,76,20,1011,1/13/2013
Bac Lieu,30,23,17,E,1,76,45,1012,1/13/2014
Bac Lieu,31,24,12,ENE,1,75,34,1012,1/13/2015
Bac Lieu,32,25,23,E,1,74,46,1011,1/13/2016
Bac Lieu,34,25,10,WSW,1,74,31,1008,1/13/2017
Bac Lieu,30,21,9,SE,0,65,33,1012,1/13/2018
Bac Lieu,31,25,20,E,0,70,19,1011,1/13/2019
Bac Lieu,32,24,18,E,0,66,19,1009,1/13/2020
Bac Lieu,27,22,7,ENE,1,75,38,1012,1/13/2021
Bac Lieu,28,20,14,SE,0,69,19,1016,1/15/2009
Bac Lieu,31,23,15,ENE,0,65,21,1015,1/15/2010
Bac Lieu,31,24,10,ENE,1,73,26,1011,1/15/2011
Bac Lieu,30,24,21,E,1,80,44,1007,1/15/2012
Bac Lieu,30,24,18,E,1,75,41,1012,1/15/2013
Bac Lieu,29,22,14,ENE,1,69,10,1014,1/15/2014
Bac Lieu,32,23,12,ENE,0,66,4,1014,1/15/2015
Bac Lieu,32,25,19,E,1,74,24,1010,1/15/2016
Bac Lieu,29,25,7,E,1,83,78,1010,1/15/2017
Bac Lieu,30,24,7,ENE,1,72,70,1010,1/15/2018
Bac Lieu,33,24,10,ENE,0,71,47,1010,1/15/2019
Bac Lieu,30,23,18,E,0,70,3,1011,1/15/2020
Bac Lieu,29,22,11,E,0,77,25,1010,1/15/2021
Bac Lieu,29,22,13,ENE,0,73,19,1014,1/17/2009
Bac Lieu,32,23,8,ENE,0,63,45,1014,1/17/2010
Bac Lieu,30,22,13,ENE,0,70,16,1011,1/17/2011
Bac Lieu,30,24,17,ESE,1,81,44,1007,1/17/2012
Bac Lieu,31,23,16,E,0,68,40,1012,1/17/2013
Bac Lieu,29,22,9,ESE,0,68,12,1014,1/17/2014
Bac Lieu,31,23,15,E,0,67,21,1013,1/17/2015
Bac Lieu,33,25,12,ESE,0,74,11,1010,1/17/2016
Bac Lieu,30,25,25,E,1,77,47,1011,1/17/2017
Bac Lieu,28,24,8,E,1,81,55,1009,1/17/2018
Bac Lieu,31,25,24,E,0,68,15,1011,1/17/2019
Bac Lieu,32,24,15,E,0,74,13,1012,1/17/2020
Bac Lieu,30,23,15,E,0,72,17,1011,1/17/2021
Bac Lieu,29,21,12,ENE,0,72,26,1015,1/16/2009
Bac Lieu,30,24,12,ENE,0,63,27,1015,1/16/2010
Bac Lieu,30,23,13,E,1,73,36,1011,1/16/2011
Bac Lieu,31,24,17,ESE,1,82,45,1007,1/16/2012
Bac Lieu,30,23,16,E,0,69,11,1013,1/16/2013
Bac Lieu,30,22,9,ENE,0,65,10,1014,1/16/2014
Bac Lieu,30,22,11,ENE,0,69,10,1013,1/16/2015
Bac Lieu,33,25,14,ESE,0,75,21,1010,1/16/2016
Bac Lieu,29,23,20,SE,1,85,69,1009,1/16/2017
Bac Lieu,29,25,6,ENE,1,76,62,1010,1/16/2018
Bac Lieu,32,25,18,ENE,0,69,31,1011,1/16/2019
Bac Lieu,30,22,16,E,0,71,15,1013,1/18/2009
Bac Lieu,31,23,10,SE,0,63,33,1013,1/18/2010
Bac Lieu,35,23,7,SSE,0,67,2,1011,1/18/2011
Bac Lieu,31,24,16,ESE,0,80,38,1008,1/18/2012
Bac Lieu,29,24,16,ENE,1,73,50,1013,1/18/2013
Bac Lieu,30,22,17,ENE,0,67,13,1015,1/18/2014
Bac Lieu,28,23,15,E,1,69,50,1013,1/18/2015
Bac Lieu,34,26,13,SE,1,72,7,1010,1/18/2016
Bac Lieu,29,25,24,E,0,73,48,1012,1/18/2017
Bac Lieu,32,23,14,E,0,75,28,1011,1/16/2020
Bac Lieu,29,22,13,E,0,77,32,1010,1/16/2021
Bac Lieu,32,24,9,E,1,71,48,1009,1/18/2018
Bac Lieu,31,25,26,ENE,0,65,17,1011,1/18/2019
Bac Lieu,31,24,20,E,0,70,18,1012,1/18/2020
Bac Lieu,29,21,10,SE,0,70,16,1012,1/18/2021
Bac Lieu,32,22,13,E,0,71,5,1012,1/19/2009
Bac Lieu,22,21,14,W,1,86,79,1011,1/19/2010
Bac Lieu,33,22,7,SSW,0,65,20,1009,1/19/2011
Bac Lieu,30,24,19,ESE,0,82,35,1009,1/19/2012
Bac Lieu,30,23,17,ENE,0,68,10,1012,1/19/2013
Bac Lieu,30,21,14,NE,0,59,7,1015,1/19/2014
Bac Lieu,29,23,17,ENE,0,68,22,1014,1/19/2015
Bac Lieu,33,26,22,E,0,73,27,1011,1/19/2016
Bac Lieu,30,25,23,E,1,74,42,1012,1/19/2017
Bac Lieu,30,25,13,ENE,1,76,60,1009,1/19/2018
Bac Lieu,32,24,21,ENE,0,66,19,1011,1/19/2019
Bac Lieu,30,22,23,E,0,70,25,1011,1/19/2020
Bac Lieu,28,22,8,WSW,0,70,52,1011,1/19/2021
Bac Lieu,31,23,14,E,0,69,4,1011,1/21/2009
Bac Lieu,30,23,13,ESE,0,80,19,1012,1/21/2010
Bac Lieu,31,23,9,S,1,72,54,1009,1/21/2011
Bac Lieu,30,23,18,ESE,0,80,23,1009,1/21/2012
Bac Lieu,32,24,23,E,0,73,23,1013,1/21/2013
Bac Lieu,29,20,9,ESE,0,68,37,1014,1/21/2014
Bac Lieu,31,23,13,E,0,68,13,1016,1/21/2015
Bac Lieu,33,25,21,E,1,72,24,1012,1/21/2016
Bac Lieu,31,25,25,ENE,1,69,39,1013,1/21/2017
Bac Lieu,32,25,14,E,1,70,40,1008,1/21/2018
Bac Lieu,33,25,15,ENE,1,69,45,1012,1/21/2019
Bac Lieu,32,25,21,E,0,67,16,1013,1/21/2020
Bac Lieu,31,24,7,SSW,0,72,47,1010,1/21/2021
Bac Lieu,28,19,14,NE,0,66,9,1016,1/14/2009
Bac Lieu,31,24,22,ENE,0,64,17,1015,1/14/2010
Bac Lieu,31,24,8,E,1,75,30,1009,1/14/2011
Bac Lieu,30,24,26,ENE,1,79,60,1008,1/14/2012
Bac Lieu,30,24,18,E,1,75,31,1012,1/14/2013
Bac Lieu,29,23,13,ENE,1,75,42,1013,1/14/2014
Bac Lieu,30,23,15,ENE,0,72,28,1013,1/14/2015
Bac Lieu,32,26,24,E,1,73,31,1011,1/14/2016
Bac Lieu,33,25,11,SSW,1,75,42,1008,1/14/2017
Bac Lieu,31,24,9,SE,0,67,67,1011,1/14/2018
Bac Lieu,31,24,16,E,0,67,17,1010,1/14/2019
Bac Lieu,30,23,19,E,0,66,5,1010,1/14/2020
Bac Lieu,27,21,9,E,0,79,44,1011,1/14/2021
Bac Lieu,32,23,12,E,0,69,22,1010,1/22/2009
Bac Lieu,30,24,16,E,1,84,28,1013,1/22/2010
Bac Lieu,32,24,18,E,1,75,52,1010,1/22/2011
Bac Lieu,31,22,17,E,0,79,23,1010,1/22/2012
Bac Lieu,31,24,23,E,1,74,28,1013,1/22/2013
Bac Lieu,29,20,12,NE,1,64,20,1015,1/22/2014
Bac Lieu,30,23,20,E,0,70,14,1016,1/22/2015
Bac Lieu,33,24,16,E,1,73,22,1013,1/22/2016
Bac Lieu,30,25,27,ENE,0,67,41,1013,1/22/2017
Bac Lieu,32,25,13,ENE,1,73,61,1008,1/22/2018
Bac Lieu,32,25,15,E,1,71,26,1013,1/22/2019
Bac Lieu,32,25,23,E,0,70,17,1013,1/22/2020
Bac Lieu,28,24,10,SSW,1,78,54,1009,1/22/2021
Bac Lieu,26,24,11,E,1,79,61,1010,1/23/2009
Bac Lieu,30,24,21,E,0,76,13,1013,1/23/2010
Bac Lieu,32,24,19,E,1,76,46,1011,1/23/2011
Bac Lieu,31,23,17,E,1,77,20,1010,1/23/2012
Bac Lieu,31,24,22,E,1,73,24,1012,1/23/2013
Bac Lieu,28,20,9,ENE,0,64,24,1015,1/23/2014
Bac Lieu,30,22,19,E,0,66,5,1014,1/23/2015
Bac Lieu,33,26,22,E,0,72,16,1013,1/23/2016
Bac Lieu,31,24,22,ENE,0,64,33,1013,1/23/2017
Bac Lieu,31,25,20,E,0,73,38,1008,1/23/2018
Bac Lieu,31,24,17,E,0,67,21,1013,1/23/2019
Bac Lieu,30,23,19,E,0,73,25,1012,1/23/2020
Bac Lieu,29,23,9,ESE,1,81,70,1010,1/23/2021
Bac Lieu,26,24,20,ENE,1,78,66,1011,1/24/2009
Bac Lieu,31,24,20,E,0,71,13,1013,1/24/2010
Bac Lieu,30,24,21,ENE,1,74,44,1011,1/24/2011
Bac Lieu,32,23,12,ESE,1,74,16,1009,1/24/2012
Bac Lieu,31,24,19,E,0,71,19,1012,1/24/2013
Bac Lieu,30,20,8,E,1,67,5,1013,1/24/2014
Bac Lieu,30,22,18,E,0,66,1,1014,1/24/2015
Bac Lieu,33,27,35,E,0,62,21,1014,1/24/2016
Bac Lieu,28,25,14,ENE,1,76,69,1013,1/24/2017
Bac Lieu,32,25,19,E,1,72,33,1008,1/24/2018
Bac Lieu,30,24,17,E,0,65,12,1013,1/24/2019
Bac Lieu,32,23,16,E,0,72,10,1012,1/24/2020
Bac Lieu,29,23,16,ESE,1,75,41,1011,1/24/2021
Bac Lieu,31,23,17,E,0,68,14,1011,1/27/2009
Bac Lieu,32,25,22,ENE,1,67,31,1012,1/27/2010
Bac Lieu,32,24,28,ENE,0,73,32,1012,1/27/2011
Bac Lieu,31,23,19,ENE,1,72,38,1009,1/27/2012
Bac Lieu,30,23,24,E,0,71,15,1013,1/27/2013
Bac Lieu,30,22,19,E,0,72,5,1013,1/27/2014
Bac Lieu,31,22,18,E,0,73,8,1012,1/27/2015
Bac Lieu,32,26,28,ENE,1,68,39,1013,1/27/2016
Bac Lieu,31,23,20,ENE,0,62,26,1013,1/27/2017
Bac Lieu,33,25,17,E,0,71,20,1008,1/27/2018
Bac Lieu,31,23,16,ENE,0,65,15,1014,1/27/2019
Bac Lieu,31,23,12,ESE,0,77,15,1010,1/27/2020
Bac Lieu,32,24,20,E,0,69,13,1010,1/27/2021
Bac Lieu,31,23,16,ENE,0,68,11,1011,1/28/2009
Bac Lieu,31,25,20,E,1,71,24,1012,1/28/2010
Bac Lieu,32,23,25,ENE,0,68,25,1010,1/28/2011
Bac Lieu,27,24,10,SE,1,83,65,1009,1/28/2012
Bac Lieu,30,24,26,E,0,72,17,1013,1/28/2013
Bac Lieu,30,22,20,E,1,73,28,1012,1/28/2014
Bac Lieu,31,23,19,E,0,72,12,1012,1/28/2015
Bac Lieu,31,25,23,E,1,74,34,1012,1/28/2016
Bac Lieu,32,23,13,ENE,0,61,18,1012,1/28/2017
Bac Lieu,32,25,16,E,1,75,37,1009,1/28/2018
Bac Lieu,33,24,17,E,0,65,21,1013,1/28/2019
Bac Lieu,31,24,14,ESE,0,73,29,1011,1/28/2020
Bac Lieu,30,22,20,E,0,70,26,1011,1/28/2021
Bac Lieu,31,22,12,E,0,71,1,1011,1/20/2009
Bac Lieu,23,22,11,W,1,91,89,1011,1/20/2010
Bac Lieu,32,23,8,SSW,0,67,33,1009,1/20/2011
Bac Lieu,30,23,19,E,0,82,37,1009,1/20/2012
Bac Lieu,32,23,15,ENE,0,72,37,1013,1/20/2013
Bac Lieu,29,19,11,SSW,0,62,11,1015,1/20/2014
Bac Lieu,31,22,13,E,0,65,12,1015,1/20/2015
Bac Lieu,32,26,22,E,0,72,21,1012,1/20/2016
Bac Lieu,31,26,27,ENE,0,70,64,1011,1/20/2017
Bac Lieu,31,25,18,ENE,0,71,26,1009,1/20/2018
Bac Lieu,32,25,18,E,0,69,18,1011,1/20/2019
Bac Lieu,31,24,24,E,0,67,10,1012,1/20/2020
Bac Lieu,31,22,8,WSW,0,67,46,1011,1/20/2021
Bac Lieu,32,23,14,ENE,0,66,7,1011,1/29/2009
Bac Lieu,32,25,20,E,0,68,24,1012,1/29/2010
Bac Lieu,32,23,24,ENE,0,66,31,1011,1/29/2011
Bac Lieu,28,23,23,ENE,1,83,49,1009,1/29/2012
Bac Lieu,30,24,23,E,0,71,11,1013,1/29/2013
Bac Lieu,30,22,20,E,0,70,18,1013,1/29/2014
Bac Lieu,32,22,21,E,0,66,3,1012,1/29/2015
Bac Lieu,33,25,18,E,1,74,29,1012,1/29/2016
Bac Lieu,31,24,10,E,1,71,38,1012,1/29/2017
Bac Lieu,32,25,13,ESE,1,75,33,1010,1/29/2018
Bac Lieu,32,24,20,E,1,67,24,1013,1/29/2019
Bac Lieu,31,22,15,E,0,77,25,1012,1/29/2020
Bac Lieu,30,22,16,E,0,65,12,1011,1/29/2021
Bac Lieu,32,23,14,E,0,66,8,1010,1/30/2009
Bac Lieu,32,25,22,E,0,64,19,1012,1/30/2010
Bac Lieu,31,23,22,ENE,0,66,22,1011,1/30/2011
Bac Lieu,30,24,29,E,1,78,36,1009,1/30/2012
Bac Lieu,32,24,24,E,0,71,11,1013,1/30/2013
Bac Lieu,29,22,21,E,0,69,18,1013,1/30/2014
Bac Lieu,31,23,24,E,0,67,2,1013,1/30/2015
Bac Lieu,33,25,25,E,0,73,30,1012,1/30/2016
Bac Lieu,32,24,14,E,1,71,39,1011,1/30/2017
Bac Lieu,33,25,13,E,1,72,34,1011,1/30/2018
Bac Lieu,32,25,24,E,0,65,16,1013,1/30/2019
Bac Lieu,31,24,20,E,1,71,60,1012,1/30/2020
Bac Lieu,30,23,16,ENE,0,64,3,1012,1/30/2021
Bac Lieu,32,23,17,E,0,66,3,1011,1/31/2009
Bac Lieu,30,24,16,E,0,70,11,1013,1/31/2010
Bac Lieu,31,23,20,ENE,0,70,26,1011,1/31/2011
Bac Lieu,31,24,29,E,0,76,32,1010,1/31/2012
Bac Lieu,32,24,25,E,0,72,12,1013,1/31/2013
Bac Lieu,30,21,18,E,0,70,7,1013,1/31/2014
Bac Lieu,31,23,23,E,0,64,2,1014,1/31/2015
Bac Lieu,33,25,22,E,0,71,48,1011,1/31/2016
Bac Lieu,32,24,10,E,1,64,23,1011,1/31/2017
Bac Lieu,33,25,16,E,1,69,29,1011,1/31/2018
Bac Lieu,31,25,21,E,1,66,41,1013,1/31/2019
Bac Lieu,29,20,24,E,0,67,27,1012,1/31/2020
Bac Lieu,31,24,20,ENE,0,65,14,1012,1/31/2021
Bac Lieu,29,24,23,E,0,70,38,1011,1/25/2009
Bac Lieu,30,24,21,E,1,75,25,1012,1/25/2010
Bac Lieu,32,24,18,ENE,1,68,42,1011,1/25/2011
Bac Lieu,31,23,16,E,1,75,18,1010,1/25/2012
Bac Lieu,30,24,23,E,0,71,23,1012,1/25/2013
Bac Lieu,29,21,13,E,0,70,1,1012,1/25/2014
Bac Lieu,30,22,17,E,0,67,1,1014,1/25/2015
Bac Lieu,32,25,30,ENE,0,55,17,1014,1/25/2016
Bac Lieu,32,25,24,ENE,1,71,29,1013,1/25/2017
Bac Lieu,31,25,18,E,0,72,31,1008,1/25/2018
Bac Lieu,32,23,12,E,0,61,4,1014,1/25/2019
Bac Lieu,31,23,16,ESE,0,78,27,1011,1/25/2020
Bac Lieu,30,23,14,E,0,74,25,1011,1/25/2021
Bac Lieu,30,23,16,E,0,70,36,1012,1/26/2009
Bac Lieu,30,25,22,E,1,74,54,1013,1/26/2010
Bac Lieu,32,24,26,ENE,0,70,29,1011,1/26/2011
Bac Lieu,31,23,21,E,0,74,18,1010,1/26/2012
Bac Lieu,31,24,23,E,0,70,7,1012,1/26/2013
Bac Lieu,29,21,16,E,0,74,14,1013,1/26/2014
Bac Lieu,32,23,16,E,0,65,2,1013,1/26/2015
Bac Lieu,30,25,29,ENE,1,63,50,1014,1/26/2016
Bac Lieu,31,25,29,ENE,0,65,21,1013,1/26/2017
Bac Lieu,32,25,17,E,1,71,16,1008,1/26/2018
Bac Lieu,32,24,16,E,0,67,3,1014,1/26/2019
Bac Lieu,32,23,10,ESE,0,77,25,1010,1/26/2020
Bac Lieu,30,23,16,E,0,71,33,1010,1/26/2021
Bac Lieu,31,23,18,E,0,62,9,1012,2/2/2009
Bac Lieu,32,25,17,ESE,0,74,22,1011,2/2/2010
Bac Lieu,32,23,20,E,0,69,19,1011,2/2/2011
Bac Lieu,31,24,26,E,0,75,14,1011,2/2/2012
Bac Lieu,28,24,23,E,0,71,35,1012,2/2/2013
Bac Lieu,30,22,7,S,0,70,14,1010,2/2/2014
Bac Lieu,31,23,26,ENE,0,64,8,1014,2/2/2015
Bac Lieu,34,26,28,E,0,64,28,1011,2/2/2016
Bac Lieu,31,25,13,ENE,1,72,74,1012,2/2/2017
Bac Lieu,31,24,21,E,0,66,21,1012,2/2/2018
Bac Lieu,32,25,21,E,0,66,36,1012,2/2/2019
Bac Lieu,30,23,22,E,0,68,9,1013,2/2/2020
Bac Lieu,30,24,17,E,0,70,17,1012,2/2/2021
Bac Lieu,29,24,13,E,1,72,26,1011,2/4/2009
Bac Lieu,32,24,17,E,0,69,9,1012,2/4/2010
Bac Lieu,31,23,17,E,1,71,28,1011,2/4/2011
Bac Lieu,31,24,22,E,0,74,12,1011,2/4/2012
Bac Lieu,32,25,28,E,0,74,9,1012,2/4/2013
Bac Lieu,30,23,14,ESE,0,70,8,1008,2/4/2014
Bac Lieu,31,24,23,E,0,64,43,1014,2/4/2015
Bac Lieu,34,26,26,E,0,61,23,1011,2/4/2016
